City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Gambela,ET,76.28,broken clouds,8.25,34.58,Solomon Debebe Hotel
482,Yaounde,CM,69.8,thunderstorm with light rain,3.87,11.52,Hotel Mérina
483,Natal,BR,71.6,scattered clouds,-5.79,-35.21,Villa Park Hotel | Natal
485,Waddan,LY,79.95,clear sky,29.16,16.14,محل الشريف محمد العايب
487,Manta,EC,71.6,overcast clouds,-0.95,-80.73,Balandra Hotel
489,Mayo,US,75.99,overcast clouds,38.89,-76.51,Resorts Resource Group International
499,Hays,US,75.0,overcast clouds,30.05,-98.03,Sinya on Lone Man Creek
503,Novoukrainskiy,RU,78.01,broken clouds,44.9,38.05,Yuzhnaya Noch'
504,Xining,CN,73.54,clear sky,36.62,101.77,Super Leisure Hotel
506,Kandi,BJ,70.88,scattered clouds,11.13,2.94,Maison des producteurs kandi
508,Quatre Cocos,MU,75.0,broken clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
509,Lethem,GY,74.82,scattered clouds,3.38,-59.8,Savannah Inn
512,Malakal,SS,73.89,overcast clouds,9.53,31.66,Nile Palace Hotel
513,Fomboni,KM,75.58,light rain,-12.28,43.74,Auberge les abou
517,Hovd,MN,70.34,overcast clouds,48.01,91.64,Hotel Khovd
519,Jinchang,CN,78.53,clear sky,38.5,102.17,Mingshihui Jinchang International Hotel
522,Praia Da Vitoria,PT,73.99,broken clouds,38.73,-27.07,Hotel Branco I
524,Odweyne,SO,79.21,clear sky,9.41,45.06,Eng Hiirey House
529,Sinnamary,GF,78.04,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
531,Westport,US,71.6,overcast clouds,41.14,-73.36,The Westport Inn
532,Washougal,US,75.99,clear sky,45.58,-122.35,Camas Hotel & Suites Portland - Vancouver
534,Port-Gentil,GA,75.2,scattered clouds,-0.72,8.78,Fengshui Residence
536,Puerto Del Rosario,ES,69.8,clear sky,28.5,-13.86,Hotel JM Puerto del Rosario
537,Matamoros,MX,73.99,broken clouds,25.53,-103.25,Recreativo Sabdy Briseidy
541,Borba,BR,77.4,few clouds,-4.39,-59.59,Hotel da Amazônia
545,South Venice,US,79.0,broken clouds,27.05,-82.42,Rodeway Inn
547,Mpanda,TZ,73.99,clear sky,-6.37,31.04,CH Hotel - Mpanda
548,Dhidhdhoo,MV,79.79,overcast clouds,6.88,73.1,Dhidhoo beach
550,Conakry,GN,76.84,moderate rain,9.54,-13.68,Riviera Royal Hotel
559,Nchelenge,ZM,72.63,clear sky,-9.35,28.73,Mweru Water Transport
561,Santa Marta,CO,75.99,overcast clouds,11.24,-74.2,Hotel La Ballena Azul
567,Saint-Denis,FR,66.99,clear sky,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
568,Aracati,BR,73.04,scattered clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
572,Areosa,PT,68.0,clear sky,41.72,-8.86,Hotel Flôr de Sal
576,Sao Gabriel Da Cachoeira,BR,72.97,scattered clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
578,Parambu,BR,66.51,broken clouds,-6.21,-40.69,Hotel pousada santo onofre
581,Srinagar,IN,77.77,clear sky,34.08,74.82,Hotel Duke
586,Da Lat,VN,74.39,broken clouds,11.95,108.44,YK Home Villa Dalat
590,Makokou,GA,70.27,overcast clouds,0.57,12.86,WAMY RESIDENCE HOTEL
