City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
114,Hasaki,JP,35.73,140.83,99.0,63,40,4.7,scattered clouds
115,San Miguel De Cauri,PE,-10.1,-76.58,43.59,85,97,2.75,overcast clouds
116,Placido De Castro,BR,-10.34,-67.19,76.33,61,22,1.54,few clouds
117,Asfi,MA,32.3,-9.24,69.78,88,0,9.44,clear sky
118,San Carlos De Bariloche,AR,-41.15,-71.31,35.6,69,40,11.41,scattered clouds
119,East London,ZA,-33.02,27.91,64.4,48,1,6.93,clear sky
120,Luanda,AO,-8.84,13.23,69.8,94,75,4.7,broken clouds
121,Muros,ES,42.78,-9.06,60.01,92,0,2.04,clear sky
122,Altamont,US,42.21,-121.74,70.0,52,1,3.36,clear sky
123,Paamiut,GL,61.99,-49.67,48.51,81,98,32.06,light rain
124,Kodiak,US,57.79,-152.41,48.2,81,20,5.82,few clouds
125,Trincomalee,LK,8.57,81.23,88.77,65,0,4.83,clear sky
126,Busselton,AU,-33.65,115.33,66.0,75,99,4.0,overcast clouds
127,San Ignacio,BZ,17.16,-89.07,75.99,86,87,0.78,overcast clouds
128,De Aar,ZA,-30.65,24.01,55.4,71,0,3.36,clear sky
129,Avera,US,33.19,-82.53,78.8,94,1,4.7,clear sky
130,Masunga,BW,-20.62,27.45,53.6,93,0,5.82,clear sky
131,Tarnos,FR,43.54,-1.46,59.0,93,0,5.82,clear sky
132,Ocos,GT,14.51,-92.19,66.0,96,100,10.69,overcast clouds
133,Abalak,RU,58.13,68.59,47.35,81,99,12.08,overcast clouds
134,Butaritari,KI,3.07,172.79,83.28,68,59,3.8,broken clouds
135,Bonfim,BR,3.08,-59.95,75.18,87,5,3.18,clear sky
136,Touros,BR,-5.2,-35.46,69.8,100,75,2.24,broken clouds
137,Naron,ES,43.52,-8.15,63.0,100,0,3.36,fog
138,Winnemucca,US,40.97,-117.74,73.4,18,1,7.11,clear sky
139,Victoria,HK,22.29,114.16,87.01,70,36,5.99,scattered clouds
140,Tasiilaq,GL,65.61,-37.64,35.6,90,96,1.05,overcast clouds
141,Samarai,PG,-10.62,150.67,78.4,81,85,14.25,overcast clouds
142,Souris,CA,49.62,-100.26,44.6,87,20,10.29,few clouds
143,Havre-Saint-Pierre,CA,50.23,-63.6,48.2,100,20,9.17,few clouds
144,Pascagoula,US,30.37,-88.56,77.0,88,1,3.15,clear sky
145,Bad Windsheim,DE,49.5,10.42,63.0,67,75,6.93,broken clouds
146,Tacoronte,ES,28.48,-16.41,69.01,100,40,12.75,fog
147,Cabadiangan,PH,9.75,122.47,85.62,74,91,7.11,overcast clouds
148,Nikolskoye,RU,59.7,30.79,59.0,93,93,6.71,light rain
149,Kuytun,RU,54.34,101.5,73.81,50,7,9.55,clear sky
150,Byron Bay,AU,-28.65,153.62,81.0,64,40,14.99,scattered clouds
151,Miles City,US,46.41,-105.84,62.6,33,1,4.7,clear sky
152,The Valley,AI,18.22,-63.06,82.99,83,20,9.17,few clouds
153,Hanstholm,DK,57.12,8.62,59.0,84,13,1.01,few clouds
154,Tay Ninh,VN,11.3,106.1,91.96,59,61,9.55,broken clouds
155,Badin,PK,24.66,68.84,91.36,53,41,8.72,scattered clouds
156,Saint George,US,37.1,-113.58,93.2,7,1,12.75,clear sky
157,Nizhniy Kuranakh,RU,58.84,125.49,69.84,44,100,7.4,overcast clouds
158,Port Alfred,ZA,-33.59,26.89,65.17,46,0,11.01,clear sky
159,Tura,IN,25.52,90.22,87.69,64,22,3.58,few clouds
160,Port Macquarie,AU,-31.43,152.92,82.0,47,1,1.99,clear sky
161,Husavik,IS,66.04,-17.34,39.2,86,90,21.92,drizzle
162,Nioki,CD,-2.72,17.68,76.51,81,11,4.16,few clouds
163,Saint-Philippe,RE,-21.36,55.77,70.0,73,75,5.82,broken clouds
164,Kroya,ID,-7.63,109.25,85.03,68,57,12.28,broken clouds
165,Saint Thomas,BB,13.18,-59.58,78.8,88,20,10.29,few clouds
166,Mehamn,NO,71.04,27.85,57.2,71,14,6.93,few clouds
167,Vila Franca Do Campo,PT,37.72,-25.43,69.8,88,20,12.75,few clouds
